Year,Week,Deaths,Population,BaselineRate,Expected,Excess,CumulativeExcess
1999,42,1074.0,13629291,5.7892365318525756e-05,789.0318936044953,284.9681063955047,19528.163782343112
1999,43,994.0,13629291,6.113801157143884e-05,833.2677508685073,160.73224913149272,19688.896031474604
1999,44,1036.0,13629291,5.8692510190639125e-05,799.9373009086861,236.0626990913139,19924.95873056592
1999,45,996.0,13629291,6.33731914829564e-05,863.7316683199342,132.26833168006578,20057.227062245984
1999,46,1046.0,13629291,6.170314808778597e-05,840.9701609045286,205.0298390954714,20262.256901341454
1999,47,1046.0,13629291,5.8838707674346465e-05,801.9298689576012,244.07013104239877,20506.32703238385
1999,48,1022.0,13629291,6.145073276374049e-05,837.5299190002534,184.47008099974664,20690.7971133836
1999,49,1072.0,13629291,6.332100216364649e-05,863.0203648999676,208.9796351000324,20899.776748483633
1999,50,1108.0,13629291,6.458099021621689e-05,880.193108724973,227.80689127502706,21127.58363975866
1999,51,1038.0,13629291,6.110013101885997e-05,832.751465794169,205.248534205831,21332.83217396449
1999,52,816.0,13629291,5.932282698132856e-05,808.5280718711786,7.471928128821446,21340.304102093312
2000,0,53758.0,13711508,0.0031273346229771888,42880.47370162871,10877.52629837129,10877.52629837129
2000,1,1086.0,13711508,5.573116995058337e-05,764.1583826267835,321.84161737321654,11199.367915744506
2000,2,1024.0,13711508,6.248295679588379e-05,856.7355619704149,167.2644380295851,11366.63235377409
2000,3,1126.0,13711508,6.0648388951308274e-05,831.580870292975,294.41912970702504,11661.051483481117
2000,4,1110.0,13711508,6.303471984937163e-05,864.3010654924179,245.69893450758207,11906.750417988698
2000,5,992.0,13711508,6.291327320498503e-05,862.6358488563378,129.36415114366218,12036.11456913236
2000,6,958.0,13711508,6.309039282329553e-05,865.0644259197593,92.93557408024071,12129.0501432126
2000,7,962.0,13711508,6.257332526826375e-05,857.9746500024006,104.02534999759939,12233.0754932102
2000,8,1042.0,13711508,6.355170356345632e-05,871.3896918239598,170.61030817604023,12403.68580138624
2000,9,978.0,13711508,6.234309098968312e-05,854.817790849768,123.18220915023198,12526.868010536473
2000,10,990.0,13711508,6.360417210696744e-05,872.1091146780609,117.8908853219391,12644.758895858411
2000,11,992.0,13711508,6.355134421915103e-05,871.3847646716431,120.6152353283569,12765.374131186769
2000,12,1010.0,13711508,6.243219480709679e-05,856.0395385550661,153.9604614449339,12919.334592631702
2000,13,1022.0,13711508,6.0073884716307294e-05,823.7035508787252,198.2964491212748,13117.631041752977
2000,14,1010.0,13711508,6.0158159819534264e-05,824.8590896308226,185.1409103691774,13302.771952122155
2000,15,1014.0,13711508,5.837657447594465e-05,800.4308679395109,213.5691320604891,13516.341084182644
2000,16,1002.0,13711508,5.9152597885471416e-05,811.0713191274244,190.92868087257557,13707.26976505522
2000,17,976.0,13711508,5.720265876467354e-05,784.3347132730913,191.66528672690868,13898.935051782128
2000,18,980.0,13711508,5.630903884196734e-05,772.0818365539459,207.9181634460541,14106.853215228182
2000,19,1060.0,13711508,5.7060437735909897e-05,782.3846484994305,277.61535150056955,14384.468566728752
2000,20,976.0,13711508,5.4066506031516115e-05,741.3333299831814,234.66667001681856,14619.13523674557
2000,21,962.0,13711508,5.7628853740975957e-05,790.1784891002218,171.82151089977822,14790.956747645349
2000,22,944.0,13711508,5.754412463507201e-05,789.0167252867869,154.98327471321306,14945.940022358562
2000,23,968.0,13711508,5.7740313690651755e-05,791.706773091881,176.29322690811898,15122.233249266681
2000,24,960.0,13711508,5.5707419378653895e-05,763.8327264697679,196.16727353023214,15318.400522796912
